prediction_id,image_id,vlm_name,compression_type,compression_level,category,cer,wer,bleu,gt_length,pred_length,length_ratio,condition
551,22,qwen2-vl,jpeg,90.000000,short_documents,0.026316,0.038462,0.954840,1026,1025,0.999000,jpeg_QF90.0
552,21,qwen2-vl,jpeg,90.000000,medium_documents,0.001617,0.010526,0.976939,1855,1855,1.000000,jpeg_QF90.0
553,111,qwen2-vl,jpeg,90.000000,medium_documents,0.000000,0.000000,1.000000,3181,3181,1.000000,jpeg_QF90.0
554,6,qwen2-vl,jpeg,90.000000,short_documents,0.022956,0.026316,0.962831,3572,3491,0.977300,jpeg_QF90.0
555,43,qwen2-vl,jpeg,90.000000,long_documents,0.000194,0.001323,0.997145,5152,5152,1.000000,jpeg_QF90.0
556,18,qwen2-vl,jpeg,90.000000,short_documents,0.009041,0.012903,0.984362,2544,2533,0.995700,jpeg_QF90.0
557,27,qwen2-vl,jpeg,90.000000,medium_documents,0.039286,0.085185,0.834051,1680,1653,0.983900,jpeg_QF90.0
558,47,qwen2-vl,jpeg,90.000000,medium_documents,0.000367,0.002427,0.994756,2727,2728,1.000400,jpeg_QF90.0
559,66,qwen2-vl,jpeg,90.000000,long_documents,0.002331,0.002442,0.996328,5149,5137,0.997700,jpeg_QF90.0
560,30,qwen2-vl,jpeg,90.000000,excluded_short_gt,0.000000,0.000000,1.000000,380,380,1.000000,jpeg_QF90.0
561,44,qwen2-vl,jpeg,90.000000,medium_documents,0.002936,0.019802,0.969516,2725,2717,0.997100,jpeg_QF90.0
562,93,qwen2-vl,jpeg,90.000000,short_documents,0.000000,0.000000,1.000000,1205,1205,1.000000,jpeg_QF90.0
563,51,qwen2-vl,jpeg,90.000000,short_documents,0.016492,0.010000,0.967991,667,678,1.016500,jpeg_QF90.0
564,11,qwen2-vl,jpeg,90.000000,medium_documents,0.019780,0.022267,0.973522,3185,3244,1.018500,jpeg_QF90.0
565,5,qwen2-vl,jpeg,90.000000,short_documents,0.000800,0.008741,0.996396,3749,3747,0.999500,jpeg_QF90.0
566,10,qwen2-vl,jpeg,90.000000,long_documents,0.000000,0.000000,1.000000,5202,5202,1.000000,jpeg_QF90.0
